Year,Player,Age,MVP,Predicted MVP Share
1990-91,Michael Jordan,27,1,1.2746165
1995-96,Michael Jordan,32,1,1.2435366
2008-09,LeBron James,24,1,1.1809129
2016-17,Russell Westbrook,28,1,1.1174885
1999-00,Shaquille O'Neal,27,1,1.0589706
1992-93,Michael Jordan,29,0,1.0577
2009-10,LeBron James,25,1,0.9918119
2012-13,LeBron James,28,1,0.9910575
1993-94,David Robinson,28,0,0.98674786
1991-92,Michael Jordan,28,1,0.9282005
2020-21,Nikola Jokić,25,1,0.9266502
2021-22,Nikola Jokić,26,1,0.9245636
1993-94,Shaquille O'Neal,21,0,0.92114544
2019-20,Giannis Antetokounmpo,25,1,0.9177114
2016-17,James Harden,27,0,0.9066586
1996-97,Michael Jordan,33,0,0.9051918
1996-97,Karl Malone,33,1,0.86666536
1997-98,Karl Malone,34,0,0.8595572
2017-18,James Harden,28,1,0.85298306
2014-15,James Harden,25,0,0.84383374
1994-95,Shaquille O'Neal,22,0,0.82733744
2018-19,Giannis Antetokounmpo,24,1,0.8229904
1994-95,David Robinson,29,1,0.78628767
2000-01,Shaquille O'Neal,28,0,0.7747565
2011-12,LeBron James,27,1,0.77253234
2003-04,Kevin Garnett,27,1,0.76480544
2007-08,Chris Paul,22,0,0.75842845
2017-18,LeBron James,33,0,0.7539724
2013-14,Kevin Durant,25,1,0.7494056
2008-09,Chris Paul,23,0,0.7418188
2005-06,Kobe Bryant,27,0,0.7405956
2015-16,Stephen Curry,27,1,0.7239423
2021-22,Joel Embiid,27,0,0.7234709
2004-05,Amar'e Stoudemire,22,0,0.71143264
1990-91,Karl Malone,27,0,0.70337164
1993-94,Hakeem Olajuwon,31,1,0.70305836
2014-15,Stephen Curry,26,1,0.70207536
2005-06,LeBron James,21,0,0.7006098
2018-19,James Harden,29,0,0.6980516
2008-09,Dwyane Wade,27,0,0.68857336
2019-20,LeBron James,35,0,0.68547904
1997-98,Michael Jordan,34,1,0.6747623
1991-92,Karl Malone,28,0,0.66498476
2021-22,Giannis Antetokounmpo,27,0,0.66168845
1990-91,David Robinson,25,0,0.6546651
2002-03,Kobe Bryant,24,0,0.6515483
1995-96,David Robinson,30,0,0.6430652
2013-14,LeBron James,29,0,0.6379601
2007-08,LeBron James,23,0,0.63265896
1995-96,Karl Malone,32,0,0.6252396
