,2.2P,2.2P%,2.2PA,2.3P,2.3P%,2.3PA,2.AST,2.BLK,2.DRB,2.FG,2.FG%,2.FGA,2.FT,2.FT%,2.FTA,2.MP,2.ORB,2.PF,2.PTS,2.STL,2.TOV,2.TRB,2.eFG%,5.3PAr,5.AST%,5.BLK%,5.BPM,5.DBPM,5.DRB%,5.DRtg,5.DWS,5.FTr,5.OBPM,5.ORB%,5.ORtg,5.OWS,5.PER,5.STL%,5.TOV%,5.TRB%,5.TS%,5.USG%,5.VORP,5.WS,5.WS/48,6.2P+,6.3P+,6.3PAr+,6.FG Add,6.FG+,6.FT+,6.FTr+,6.TS Add,6.TS+,6.eFG+,Age,G,GS,MVP,MVP Rank,MVP Share,Player,Pos,Pos_No,Seed,Tm,Win %,Year
2.2P,1.0,0.20887074813788692,0.948546189755458,-0.39297122248323196,-0.2574456126971229,-0.3643508216412166,-0.30934045086652107,0.39045753692603713,0.3813611810009323,0.8556761925099019,0.36534359078940043,0.6818719752886073,0.4890439971509567,-0.28279722093571186,0.6148645715148264,0.26276319925412667,0.32917569547697806,0.324178762799406,0.6895387851980997,-0.06045074754205598,0.17653195581167652,0.38916852729882334,0.023762813258602845,-0.5445463478314237,-0.28253681453138657,0.33617921695076264,0.23109034995373293,0.11137887229532283,0.3052977903580539,-0.15673264134987194,0.263078448013237,0.18864502379211867,0.21451604292355098,0.27643771253052524,-0.12628132245776286,0.1956141372531576,0.5422283786747171,-0.16496307304294064,-0.4872471994620193,0.31549696109544123,-0.03963003176199452,0.645094595162364,0.2987677048402883,0.2921523184870843,0.20276035832096834,0.24208271885236932,-0.2563077950844894,-0.5331357440557493,0.15659655558895644,0.35847339615044643,-0.2924329031468272,0.15748840291426444,0.11926817088171056,-0.030563181866040838,0.04907906534749401,-0.18133199763479055,0.04418783980033656,0.11974977595321888,0.20557419525022694,-0.3964017674049917,0.3491238630747673,,,0.42027320413247254,0.04730986270926413,,-0.045552888550014825,
2.2P%,0.20887074813788692,1.0,-0.09744045760760911,-0.10741504202675714,-0.1948168146995174,-0.12433585262276715,-0.05608107782801193,0.26189641160768534,0.359271985525595,0.16565135795301122,0.8804437629094735,-0.18187580956235783,0.03133579754224923,-0.26452737669681353,0.16381728187720934,-0.2759955901654159,0.27330729837289247,0.18159902289031016,0.10619105332906756,-0.20764616683174675,0.05482454440269047,0.3543263881930494,0.902380445267156,-0.11801163065701738,-0.04624728959927192,0.297916847173266,0.36896129817313783,0.2797425398837311,0.378148913623498,0.027030536015001223,0.13994394560218126,0.3466395919082274,0.2793465811253275,0.31269197347108973,0.5786456548130199,0.31801841860467783,0.4779102293653979,-0.1909443516182525,0.15251737817951097,0.39090225996393224,0.7526474994446632,-0.024044642506409412,0.2522509643838243,0.34302934374568367,0.5254541247663449,0.8981782162932802,-0.20124867251382797,-0.23236308203629782,0.7491586044427697,0.8281775352883702,-0.30587664489390753,0.4148258119555079,0.6225972975895657,0.66144220283862,0.7894883360594018,0.04437919554200167,0.003849047343250808,-0.010417075149660036,0.15975321633331255,-0.25822115330650536,0.25361284639434506,,,0.3034375749770897,-0.2699510872399222,,0.2782109622648479,
2.2PA,0.948546189755458,-0.09744045760760911,1.0,-0.36076132873517097,-0.19225908930453867,-0.32647102483033447,-0.29164731064550936,0.30131073562998817,0.27152078563919557,0.8183307614371146,0.09497409772302616,0.758620602452694,0.4886385318692896,-0.1955531587152208,0.5685206521019555,0.3578573489885481,0.24359277360952467,0.26680705915375763,0.6693943705656525,0.009754034495164144,0.17089644496821688,0.28033201701559707,-0.2584323312347937,-0.5163845544446227,-0.26795609975421875,0.23629374964954597,0.11156869552438656,0.015663602375423316,0.1883225873863887,-0.16068808367669987,0.21512376487637916,0.07663632454840541,0.12733149089590914,0.17841819869756012,-0.3110902065724882,0.08830602061785735,0.3927526769516193,-0.10476087250196496,-0.5337782871267407,0.19418024509978052,-0.2744873963896884,0.6676145614631335,0.2148039283588312,0.17602083841045066,0.030142093383653847,-0.03536592235200831,-0.18906187221553578,-0.46981961887603685,-0.0934264121974156,0.10353822328403664,-0.19277134779543273,0.026358914650793697,-0.08677452654816217,-0.23977856182855062,-0.20140053690315574,-0.18981087542416633,0.03433733013376727,0.11537267089697632,0.15408013036173412,-0.31483293029387655,0.2660296042118572,,,0.32259681142189955,0.14000305941636665,,-0.13901758641183243,
2.3P,-0.39297122248323196,-0.10741504202675714,-0.36076132873517097,1.0,0.5772695130364933,0.9867411505768253,0.34068332177848126,-0.4981202745456778,-0.36532901295117837,0.13903266223247523,-0.4624404405048477,0.3252606231535633,0.1594002361489484,0.5256633087709907,-0.039365822134151254,0.06269111789625116,-0.585049299022293,-0.38319860737413725,0.34890660943638807,0.20648595004297876,0.2205432277768835,-0.465745920144834,0.1468765163668063,0.9523387103709929,0.3594956589092193,-0.47769793770245356,0.26687036116281065,-0.2647175358914148,-0.39521911610324073,0.5150014994881492,-0.38386406607643236,-0.30575719848255467,0.49688264258205234,-0.6096129496455418,0.28025395454792995,0.2687656086260479,0.09911896741949489,0.169285632905849,-0.06694658953020728,-0.49828240374976723,0.26267542936863064,0.2818051042974526,0.21504633175035232,0.057877794018902064,0.07617746415966502,-0.2984601414001206,0.5625311739055971,0.7007818553472975,0.027554993981778648,-0.48733621653125736,0.49490060530076874,-0.17978871266918378,0.19523106059070552,0.13271170137679691,-0.033668569863045096,-0.022564709194449844,0.014192205571674405,0.03609369956945874,0.04766098446335397,-0.09901815268796575,0.08479538640859532,,,-0.5352196624992465,0.046703881199897324,,-0.04603265113098966,
2.3P%,-0.2574456126971229,-0.1948168146995174,-0.19225908930453867,0.5772695130364933,1.0,0.5587128306741728,0.3701541839872205,-0.5402139279839638,-0.4350395138514352,0.048099859240118066,-0.39608879999640084,0.1963985126773668,0.06668383384249377,0.5852668819050325,-0.1606804384851724,0.0930662586969523,-0.5956440752294359,-0.40494703831288587,0.1695864622770529,0.22627706211245974,0.08700314165629959,-0.5194505935669407,-0.011361665659078727,0.6041464585651666,0.3702264463066801,-0.5330577217708072,0.13989474615288658,-0.2717689419645088,-0.4619731267907573,0.4724905236386372,-0.38250044552868856,-0.3715159724019894,0.34454183664218047,-0.617632634971202,0.2433217859151569,0.23942102894482808,-0.01594054447771178,0.22836163271741802,-0.03391297969004988,-0.5464453101536327,0.15863664848079867,0.12864762639952754,0.13647534987536214,0.032096170577198165,0.007208122886652208,-0.3051064085910842,0.9968543345464393,0.5692332245779806,-0.06874526955545832,-0.42695115166175807,0.580968515145706,-0.3178797840073443,0.10160017382754596,0.0916656761583269,-0.10970975101249535,0.011398236647186337,0.04395924911480922,0.028344979128401955,0.030749201491868543,0.02716897599539706,-0.010599326543600596,,,-0.49903613862638363,0.021314977237027345,,-0.00618670168132016,
2.3PA,-0.3643508216412166,-0.12433585262276715,-0.32647102483033447,0.9867411505768253,0.5587128306741728,1.0,0.3690139717394758,-0.5120357136813946,-0.3571346171328519,0.16256988870559913,-0.5088972087005523,0.36804820267490107,0.19196084114453224,0.4971435214322877,-0.002394509760523527,0.08361025849219757,-0.5824807243824743,-0.38343130030093897,0.37392422902119926,0.24963741773468429,0.272734757862924,-0.4587523693339812,0.07893693462627292,0.9539453188384598,0.3922101122577314,-0.48970713847281927,0.27233814159531095,-0.24739758359391117,-0.3897055265918381,0.5111238286764307,-0.37583239379291594,-0.2995960546615821,0.4924312175107927,-0.6108382474021422,0.2323132562795314,0.23570270014332562,0.10136208547948991,0.20455002613478762,-0.06422973365228721,-0.49596942052218407,0.19806894083137125,0.32556566957764577,0.2178293272774218,0.032456042291902194,0.04674543087964541,-0.32613214844391886,0.5445939997153756,0.703752874423465,-0.054582222304341614,-0.5365892458227979,0.46384596759580693,-0.16709716204091948,0.1239250100500367,0.054430511121810445,-0.11477761432318463,-0.0433046119707944,-0.002126619567310273,0.02703838612531379,0.03882661273176941,-0.10785420759304856,0.08303473027720192,,,-0.5529993863568594,0.067034728623454,,-0.07401475527282143,
2.AST,-0.30934045086652107,-0.05608107782801193,-0.29164731064550936,0.34068332177848126,0.3701541839872205,0.3690139717394758,1.0,-0.5545536107065019,-0.461274547596679,-0.14146550288988502,-0.28531171476646466,-0.03204091910010688,-0.10333638561903667,0.2714899592431154,-0.19967981875023075,0.07827394751082503,-0.5681867386918114,-0.3957904568890741,-0.06743894518076514,0.48147856016206014,0.5028563883567285,-0.5300579384392293,-0.029490863151059945,0.44807732429522545,0.9728442268168525,-0.5661643519923466,0.30621941640921607,-0.0006043384729845356,-0.4878606297636405,0.38885198785886194,-0.27914488124289516,-0.24980025376608647,0.37607132351344424,-0.5868350491847041,0.22378225136491078,0.20314118272314402,0.03984575533558877,0.4562338964411914,0.5072073385511642,-0.5547728805088531,0.03583197184097258,-0.037792644483126143,0.2700498221991329,0.047765444362716895,0.04234108251059544,-0.16171200603465785,0.37347587285720885,0.4546221726600236,-0.1263184255571449,-0.32698299015542637,0.2543702618894318,-0.19343520899258448,-0.07667967553524405,-0.04228169404814586,-0.12623618247907803,0.04304440832924072,0.015745627768937037,0.05554453721451708,0.08389046554249305,-0.0932036187522951,0.08706361978292382,,,-0.7567158474802516,-0.01036607847185083,,0.003752838366084656,
2.BLK,0.39045753692603713,0.26189641160768534,0.30131073562998817,-0.4981202745456778,-0.5402139279839638,-0.5120357136813946,-0.5545536107065019,1.0,0.6467351212581425,0.14101254992950354,0.4720042987291061,-0.057002432307768636,0.08840658585862442,-0.49601235319094084,0.28421955250518127,0.017486575021046103,0.6636192672417288,0.519662060965925,0.031009815309866618,-0.27532690348567174,-0.09918757375804768,0.696873862202137,0.14689031329921645,-0.5662739906518549,-0.5605042139428791,0.9758547004681373,0.10697730454846235,0.5324135994651232,0.63368663098951,-0.6437280969392536,0.6201741203848016,0.4049801462247006,-0.20528100867451857,0.66181976171634,-0.15425361736321883,-0.11462510316050961,0.2731086472183201,-0.2899569686620029,-0.13230563141243404,0.6887626843403899,0.018493553208189562,8.340085269075204e-05,0.11000705015856706,0.18865204580988396,0.21980456942864326,0.3460675413359856,-0.541579859098526,-0.5822824847052575,0.23449622648703755,0.4975228796816693,-0.4940918194599117,0.360600461602281,0.1133687525320851,0.07368075932302084,0.22426637277394368,-0.0778441473087169,-0.00724853423493241,0.006813656887089673,0.03962679934930968,-0.1965458687822818,0.15868764593779353,,,0.7432150401860246,-0.08403657949731803,,0.07049358124526736,
2.DRB,0.3813611810009323,0.359271985525595,0.27152078563919557,-0.36532901295117837,-0.4350395138514352,-0.3571346171328519,-0.461274547596679,0.6467351212581425,1.0,0.20622694934493976,0.45310885340158913,0.021069736499391506,0.13479705551461102,-0.46840725445179815,0.2971559439009483,0.022568467464953747,0.7138987630641113,0.46693715234704725,0.11862821844836637,-0.328261032940118,0.01569375402948582,0.9712350684890992,0.19406300094983253,-0.4390125368733088,-0.46842261825565346,0.6447033292556253,0.17338285512693047,0.48376383157179736,0.9742791569613239,-0.5139590100000082,0.5967810658517491,0.35346777412292324,-0.0914773942363776,0.7019625934225944,-0.07241427759929765,-0.0874000450674239,0.31969198696239437,-0.372657802782018,-0.06285328710104389,0.9450538697489634,0.07044122553817934,0.06574750753548675,0.1591187961548928,0.2011451115275531,0.23158034434780797,0.3351312958617582,-0.4422609578536909,-0.5454119504455356,0.16797670615413077,0.45846570098595385,-0.49220470926006116,0.3793552629294095,0.09019522627388506,0.027980832560698336,0.15736324496173115,-0.04125190197025787,-0.02356978092096382,-0.014255018305904024,0.12207350125575445,-0.2854528428276053,0.2270343075014461,,,0.7595918778013098,-0.026741144721324512,,0.02030879572461588,
2.FG,0.8556761925099019,0.16565135795301122,0.8183307614371146,0.13903266223247523,0.048099859240118066,0.16256988870559913,-0.14146550288988502,0.14101254992950354,0.20622694934493976,1.0,0.13425086480164763,0.9169505740398973,0.6161812392164357,-0.009737422971026415,0.6401711033634383,0.3175540868754838,0.026169067050657906,0.13489348586926847,0.9388794902657802,0.05021536628570462,0.3159323553672787,0.15813535976236565,0.10932985776659257,-0.05076062309511638,-0.10179528965468823,0.09431169024313683,0.39881829837457605,-0.028417468851567273,0.10779112321622372,0.1203822328875194,0.06779618547394338,0.03135100813197527,0.5099307332219276,-0.04404806882297556,0.020873136146558537,0.36041358582482486,0.6401622579675669,-0.08224150800810076,-0.5606738911838034,0.060880449258407215,0.1058605711534019,0.8543302093739128,0.44182573979714024,0.34612807453998,0.2610455965386582,0.0933338955970419,0.04090334274246801,-0.1808454183386189,0.18474004336800082,0.1126582586847373,-0.03762384330432503,0.06902004711354444,0.2386322892429113,0.04195139147682616,0.03430537907017664,-0.20756039507825227,0.054827091272428935,0.1488299114836914,0.24689316335948433,-0.4831789649630247,0.4235129255032583,,,0.15210665491227532,0.07604346478133733,,-0.07359599649568654,
