Rk,Player,Pos,Pos_No,Age,Tm,G,GS,Seed,Win %,1.MP,1.FG,1.FGA,1.3P,1.3PA,1.2P,1.2PA,1.FT,1.FTA,1.ORB,1.DRB,1.TRB,1.AST,1.STL,1.BLK,1.TOV,1.PF,1.PTS,2.MP,2.FG,2.FGA,2.FG%,2.3P,2.3PA,2.3P%,2.2P,2.2PA,2.2P%,2.eFG%,2.FT,2.FTA,2.FT%,2.ORB,2.DRB,2.TRB,2.AST,2.STL,2.BLK,2.TOV,2.PF,2.PTS,3.FG,3.FGA,3.3P,3.3PA,3.2P,3.2PA,3.FT,3.FTA,3.ORB,3.DRB,3.TRB,3.AST,3.STL,3.BLK,3.TOV,3.PF,3.PTS,4.FG,4.FGA,4.3P,4.3PA,4.2P,4.2PA,4.FT,4.FTA,4.ORB,4.DRB,4.TRB,4.AST,4.STL,4.BLK,4.TOV,4.PF,4.PTS,5.ORtg,5.DRtg,5.PER,5.TS%,5.3PAr,5.FTr,5.ORB%,5.DRB%,5.TRB%,5.AST%,5.STL%,5.BLK%,5.TOV%,5.USG%,5.OWS,5.DWS,5.WS,5.WS/48,5.OBPM,5.DBPM,5.BPM,5.VORP,6.FG+,6.2P+,6.3P+,6.eFG+,6.FT+,6.TS+,6.FTr+,6.3PAr+,6.FG Add,6.TS Add
3,Bam Adebayo,C,5,25,MIA,75,75,13,0.536585366,2598,602,1114,1,12,601,1102,324,402,184,504,688,240,88,61,187,208,1529,34.6,8,14.9,0.54,0,0.2,0.083,8,14.7,0.545,0.541,4.3,5.4,0.806,2.5,6.7,9.2,3.2,1.2,0.8,2.5,2.8,20.4,8.3,15.4,0,0.2,8.3,15.3,4.5,5.6,2.5,7,9.5,3.3,1.2,0.8,2.6,2.9,21.2,11.6,21.4,0,0.2,11.5,21.2,6.2,7.7,3.5,9.7,13.2,4.6,1.7,1.2,3.6,4,29.3,115,111,20.1,0.592,0.011,0.361,8,23.6,15.5,15.9,1.7,2.4,12.7,25.2,3.6,3.8,7.4,0.137,0.8,0.8,1.5,2.3,114,100,23,99,103,102,135,3,-9.8,28.3
11,Giannis Antetokounmpo,PF,4,28,MIL,63,63,1,0.707317073,2024,707,1278,47,171,660,1107,498,772,137,605,742,359,52,51,246,197,1959,32.1,11.2,20.3,0.553,0.7,2.7,0.275,10.5,17.6,0.596,0.572,7.9,12.3,0.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1,12.6,22.7,0.8,3,11.7,19.7,8.9,13.7,2.4,10.8,13.2,6.4,0.9,0.9,4.4,3.5,34.8,16.7,30.1,1.1,4,15.6,26.1,11.7,18.2,3.2,14.3,17.5,8.5,1.2,1.2,5.8,4.6,46.2,117,108,29,0.605,0.134,0.604,7.3,30,19.1,33.2,1.2,2.1,13.2,38.8,4.9,3.7,8.6,0.204,5.8,2.7,8.5,5.4,116,109,76,105,83,104,227,35,67.3,78.4
69,Jalen Brunson,PG,1,26,NYK,68,68,8,0.573170732,2379,587,1195,134,322,453,873,325,392,40,201,241,421,61,15,142,152,1633,35,8.6,17.6,0.491,2,4.7,0.416,6.7,12.8,0.519,0.547,4.8,5.8,0.829,0.6,3,3.5,6.2,0.9,0.2,2.1,2.2,24,8.9,18.1,2,4.9,6.9,13.2,4.9,5.9,0.6,3,3.6,6.4,0.9,0.2,2.1,2.3,24.7,12.2,24.8,2.8,6.7,9.4,18.1,6.8,8.1,0.8,4.2,5,8.7,1.3,0.3,3,3.2,33.9,125,117,21.2,0.597,0.269,0.328,1.8,9.3,5.6,28.7,1.3,0.6,9.4,27.2,6.9,1.8,8.7,0.175,4.4,-0.5,3.9,3.5,103,95,115,100,106,103,123,70,4.8,43.3
75,Jimmy Butler,SF,3,33,MIA,64,64,13,0.536585366,2138,479,888,36,103,443,785,472,555,141,234,375,340,117,21,101,80,1466,33.4,7.5,13.9,0.539,0.6,1.6,0.35,6.9,12.3,0.564,0.56,7.4,8.7,0.85,2.2,3.7,5.9,5.3,1.8,0.3,1.6,1.3,22.9,8.1,15,0.6,1.7,7.5,13.2,7.9,9.3,2.4,3.9,6.3,5.7,2,0.4,1.7,1.3,24.7,11.2,20.7,0.8,2.4,10.3,18.3,11,12.9,3.3,5.5,8.7,7.9,2.7,0.5,2.4,1.9,34.2,135,112,27.6,0.647,0.116,0.625,7.5,13.3,10.3,27.1,2.7,1,8.2,25.6,9.4,2.9,12.3,0.277,6.7,2,8.7,5.8,113,103,97,103,109,111,235,30,25.6,149.8
108,Stephen Curry,PG,1,34,GSW,56,56,11,0.536585366,1941,559,1133,273,639,286,494,257,281,39,302,341,352,52,20,179,117,1648,34.7,10,20.2,0.493,4.9,11.4,0.427,5.1,8.8,0.579,0.614,4.6,5,0.915,0.7,5.4,6.1,6.3,0.9,0.4,3.2,2.1,29.4,10.4,21,5.1,11.9,5.3,9.2,4.8,5.2,0.7,5.6,6.3,6.5,1,0.4,3.3,2.2,30.6,13.6,27.6,6.6,15.5,7,12,6.3,6.8,0.9,7.3,8.3,8.6,1.3,0.5,4.4,2.8,40.1,123,115,24.1,0.656,0.564,0.248,2.3,16.8,9.7,30,1.3,0.9,12.5,31,5.8,2,7.8,0.192,7.5,0.1,7.6,4.7,104,106,118,113,117,113,93,146,155.5,187.1
110,Anthony Davis,C,5,29,LAL,56,54,14,0.524390244,1904,542,962,19,74,523,888,348,444,195,507,702,148,59,114,122,146,1451,34,9.7,17.2,0.563,0.3,1.3,0.257,9.3,15.9,0.589,0.573,6.2,7.9,0.784,3.5,9.1,12.5,2.6,1.1,2,2.2,2.6,25.9,10.2,18.2,0.4,1.4,9.9,16.8,6.6,8.4,3.7,9.6,13.3,2.8,1.1,2.2,2.3,2.8,27.4,13.5,23.9,0.5,1.8,13,22.1,8.7,11,4.9,12.6,17.5,3.7,1.5,2.8,3,3.6,36.1,124,108,27.8,0.627,0.077,0.462,11.3,27.6,19.7,13,1.5,5.1,9.5,28.4,5.5,3.4,9,0.226,4.6,1.7,6.3,4,119,107,71,105,100,108,173,20,53.9,105.6
117,DeMar DeRozan,SF,3,33,CHI,74,74,19,0.487804878,2682,657,1303,46,142,611,1161,456,523,34,309,343,377,83,36,153,186,1816,36.2,8.9,17.6,0.504,0.6,1.9,0.324,8.3,15.7,0.526,0.522,6.2,7.1,0.872,0.5,4.2,4.6,5.1,1.1,0.5,2.1,2.5,24.5,8.8,17.5,0.6,1.9,8.2,15.6,6.1,7,0.5,4.1,4.6,5.1,1.1,0.5,2.1,2.5,24.4,11.9,23.7,0.8,2.6,11.1,21.1,8.3,9.5,0.6,5.6,6.2,6.8,1.5,0.7,2.8,3.4,33,119,113,20.6,0.592,0.109,0.401,1.5,12.8,7.2,22.3,1.5,1.3,9.1,27.8,5.4,3.2,8.5,0.153,1.7,0.3,2,2.6,106,96,90,96,112,102,151,28,-60.9,33.7
125,Luka Dončić,PG,1,23,DAL,66,66,21,0.463414634,2391,719,1449,185,541,534,908,515,694,54,515,569,529,90,33,236,166,2138,36.2,10.9,22,0.496,2.8,8.2,0.342,8.1,13.8,0.588,0.56,7.8,10.5,0.742,0.8,7.8,8.6,8,1.4,0.5,3.6,2.5,32.4,10.8,21.8,2.8,8.1,8,13.7,7.8,10.4,0.8,7.8,8.6,8,1.4,0.5,3.6,2.5,32.2,14.9,30.1,3.8,11.2,11.1,18.9,10.7,14.4,1.1,10.7,11.8,11,1.9,0.7,4.9,3.5,44.4,120,113,28.7,0.609,0.373,0.479,2.6,25.4,13.8,42.3,1.9,1.2,11.9,37.6,7.3,2.9,10.2,0.204,7.6,1.4,9,6.6,104,107,95,103,95,105,180,96,42.9,98.5
143,Joel Embiid,C,5,28,PHI,66,66,3,0.658536585,2284,728,1328,66,200,662,1128,661,771,113,557,670,274,66,112,226,205,2183,34.6,11,20.1,0.548,1,3,0.33,10,17.1,0.587,0.573,10,11.7,0.857,1.7,8.4,10.2,4.2,1,1.7,3.4,3.1,33.1,11.5,20.9,1,3.2,10.4,17.8,10.4,12.2,1.8,8.8,10.6,4.3,1,1.8,3.6,3.2,34.4,15.8,28.8,1.4,4.3,14.4,24.5,14.3,16.7,2.5,12.1,14.5,5.9,1.4,2.4,4.9,4.4,47.4,124,109,31.4,0.655,0.151,0.581,5.9,28.3,17.3,22.9,1.4,4.6,11.9,37,8.4,3.9,12.3,0.259,6.8,2.3,9.2,6.4,115,107,91,105,110,113,218,39,73.8,244.8
153,De'Aaron Fox,PG,1,25,SAC,73,73,7,0.585365854,2435,682,1331,119,367,563,964,343,440,40,266,306,447,83,23,181,172,1826,33.4,9.3,18.2,0.512,1.6,5,0.324,7.7,13.2,0.584,0.557,4.7,6,0.78,0.5,3.6,4.2,6.1,1.1,0.3,2.5,2.4,25,10.1,19.7,1.8,5.4,8.3,14.3,5.1,6.5,0.6,3.9,4.5,6.6,1.2,0.3,2.7,2.5,27,13.4,26.2,2.3,7.2,11.1,18.9,6.7,8.6,0.8,5.2,6,8.8,1.6,0.5,3.6,3.4,35.9,119,117,21.8,0.599,0.276,0.331,1.9,12.4,7.2,29.6,1.6,0.8,10.6,30.1,5.5,1.8,7.4,0.146,3.4,-0.9,2.5,2.7,108,107,90,102,100,103,124,71,31.5,53.6
